study_id,series_id,path,level_pred,pred_level,instance_number,z,dis
113121178,560663154,/kaggle/temp/axial_all_images/113121178___560663154___11.png,1,1,11,17,0.695178558844642
113121178,2624376155,/kaggle/temp/axial_all_images/113121178___2624376155___20.png,1,5,20,5,0.48955704943899647
113121178,2624376155,/kaggle/temp/axial_all_images/113121178___2624376155___13.png,1,4,13,12,1.6363613038803813
113121178,2624376155,/kaggle/temp/axial_all_images/113121178___2624376155___7.png,1,3,7,18,0.4042645487105041
113121178,2624376155,/kaggle/temp/axial_all_images/113121178___2624376155___1.png,1,2,1,24,2.5877067202799537
115990621,1678668192,/kaggle/temp/axial_all_images/115990621___1678668192___28.png,1,5,28,2,2.2979486094056227
115990621,1678668192,/kaggle/temp/axial_all_images/115990621___1678668192___23.png,1,4,23,7,0.5297536220018726
115990621,1678668192,/kaggle/temp/axial_all_images/115990621___1678668192___18.png,1,3,18,12,1.0713853713095496
115990621,1678668192,/kaggle/temp/axial_all_images/115990621___1678668192___13.png,1,2,13,17,0.9345263211482777
115990621,1678668192,/kaggle/temp/axial_all_images/115990621___1678668192___8.png,1,1,8,22,1.7219305688278705
135073898,1169041427,/kaggle/temp/axial_all_images/135073898___1169041427___32.png,1,5,32,8,0.5571775087282553
135073898,1169041427,/kaggle/temp/axial_all_images/135073898___1169041427___28.png,1,4,28,12,1.9076203668567828
135073898,1169041427,/kaggle/temp/axial_all_images/135073898___1169041427___22.png,1,3,22,18,1.171318386995953
135073898,1169041427,/kaggle/temp/axial_all_images/135073898___1169041427___16.png,1,2,16,24,0.3737073604545289
135073898,1169041427,/kaggle/temp/axial_all_images/135073898___1169041427___10.png,1,1,10,30,0.4239047716301956
142991438,56615998,/kaggle/temp/axial_all_images/142991438___56615998___39.png,1,5,39,7,1.5162264882744445
142991438,56615998,/kaggle/temp/axial_all_images/142991438___56615998___34.png,1,4,34,12,0.13327598388201523
142991438,56615998,/kaggle/temp/axial_all_images/142991438___56615998___28.png,1,3,28,18,1.2558176793584508
142991438,56615998,/kaggle/temp/axial_all_images/142991438___56615998___23.png,1,2,23,23,1.3337226950367231
142991438,56615998,/kaggle/temp/axial_all_images/142991438___56615998___16.png,1,1,16,30,0.7450245574277616
145324113,3485061318,/kaggle/temp/axial_all_images/145324113___3485061318___39.png,1,5,39,3,0.8470914830987084
145324113,3485061318,/kaggle/temp/axial_all_images/145324113___3485061318___30.png,1,4,30,12,0.3257545396464252
145324113,3485061318,/kaggle/temp/axial_all_images/145324113___3485061318___21.png,1,3,21,21,0.4223472533287973
145324113,3485061318,/kaggle/temp/axial_all_images/145324113___3485061318___13.png,1,2,13,29,0.584118863612356
145324113,3485061318,/kaggle/temp/axial_all_images/145324113___3485061318___5.png,1,1,5,37,0.6488983655208251
153831832,1455727141,/kaggle/temp/axial_all_images/153831832___1455727141___23.png,1,5,23,2,0.022235130275714
153831832,1455727141,/kaggle/temp/axial_all_images/153831832___1455727141___18.png,1,4,18,7,1.0971311031701436
153831832,1455727141,/kaggle/temp/axial_all_images/153831832___1455727141___13.png,1,3,13,12,1.129684076115642
153831832,1455727141,/kaggle/temp/axial_all_images/153831832___1455727141___8.png,1,2,8,17,1.9559096020978401
153831832,1455727141,/kaggle/temp/axial_all_images/153831832___1455727141___4.png,1,1,4,21,0.5171633535172262
155064828,1080671136,/kaggle/temp/axial_all_images/155064828___1080671136___56.png,1,5,56,4,0.9410658909901386
155064828,1080671136,/kaggle/temp/axial_all_images/155064828___1080671136___50.png,1,4,50,10,0.15091970324070303
155064828,1080671136,/kaggle/temp/axial_all_images/155064828___1080671136___42.png,1,3,42,18,0.6845577459010013
155064828,1080671136,/kaggle/temp/axial_all_images/155064828___1080671136___33.png,1,2,33,27,1.364673959242575
155064828,1080671136,/kaggle/temp/axial_all_images/155064828___1080671136___26.png,1,1,26,34,0.7979843258286721
158640056,2018937652,/kaggle/temp/axial_all_images/158640056___2018937652___45.png,1,5,45,3,0.0395864495671745
158640056,2018937652,/kaggle/temp/axial_all_images/158640056___2018937652___38.png,1,4,38,10,0.16874050165787935
158640056,2018937652,/kaggle/temp/axial_all_images/158640056___2018937652___29.png,1,3,29,19,0.6004237006769646
158640056,2018937652,/kaggle/temp/axial_all_images/158640056___2018937652___21.png,1,2,21,27,1.1932749626538772
158640056,2018937652,/kaggle/temp/axial_all_images/158640056___2018937652___13.png,1,1,13,35,0.33963582683248994
159099003,2790625391,/kaggle/temp/axial_all_images/159099003___2790625391___39.png,1,5,39,4,1.571348660233042
159099003,2790625391,/kaggle/temp/axial_all_images/159099003___2790625391___31.png,1,4,31,12,0.5768314738145328
159099003,2790625391,/kaggle/temp/axial_all_images/159099003___2790625391___22.png,1,3,22,21,0.6899785272336523
159099003,2790625391,/kaggle/temp/axial_all_images/159099003___2790625391___13.png,1,2,13,30,1.6941323884022008
159099003,2790625391,/kaggle/temp/axial_all_images/159099003___2790625391___5.png,1,1,5,38,1.4381654158156398
159721286,107069089,/kaggle/temp/axial_all_images/159721286___107069089___13.png,1,5,13,2,1.6676986874509439
159721286,107069089,/kaggle/temp/axial_all_images/159721286___107069089___10.png,1,4,10,5,0.735693102543383
159721286,107069089,/kaggle/temp/axial_all_images/159721286___107069089___4.png,1,3,4,11,1.0953723943381126
168470924,2426018610,/kaggle/temp/axial_all_images/168470924___2426018610___35.png,1,5,35,5,1.5211889289706395
168470924,2426018610,/kaggle/temp/axial_all_images/168470924___2426018610___30.png,1,4,30,10,1.2859398924210588
168470924,2426018610,/kaggle/temp/axial_all_images/168470924___2426018610___23.png,1,3,23,17,0.4243901987587382
168470924,2426018610,/kaggle/temp/axial_all_images/168470924___2426018610___16.png,1,2,16,24,0.6715330939044435
168470924,2426018610,/kaggle/temp/axial_all_images/168470924___2426018610___9.png,1,1,9,31,1.6892240828397327
169651375,1334759429,/kaggle/temp/axial_all_images/169651375___1334759429___40.png,1,5,40,6,0.9940705985577951
169651375,1334759429,/kaggle/temp/axial_all_images/169651375___1334759429___34.png,1,4,34,12,1.3876374004874488
169651375,1334759429,/kaggle/temp/axial_all_images/169651375___1334759429___28.png,1,3,28,18,1.4601852001430977
169651375,1334759429,/kaggle/temp/axial_all_images/169651375___1334759429___20.png,1,2,20,26,1.2419955472250122
169651375,1334759429,/kaggle/temp/axial_all_images/169651375___1334759429___12.png,1,1,12,34,0.6941791997167535
169651375,4020668242,/kaggle/temp/axial_all_images/169651375___4020668242___23.png,1,5,23,2,0.9990616338187479
169651375,4020668242,/kaggle/temp/axial_all_images/169651375___4020668242___18.png,1,4,18,7,2.1621916628332123
169651375,4020668242,/kaggle/temp/axial_all_images/169651375___4020668242___13.png,1,3,13,12,2.1209073915459076
169651375,4020668242,/kaggle/temp/axial_all_images/169651375___4020668242___8.png,1,2,8,17,0.5963538762535485
169651375,4020668242,/kaggle/temp/axial_all_images/169651375___4020668242___3.png,1,1,3,22,0.20352478137271324
211713723,428690015,/kaggle/temp/axial_all_images/211713723___428690015___21.png,1,5,21,3,0.5579436270931737
211713723,428690015,/kaggle/temp/axial_all_images/211713723___428690015___15.png,1,4,15,9,2.2908870217781647
211713723,428690015,/kaggle/temp/axial_all_images/211713723___428690015___10.png,1,3,10,14,0.021830755312486794
211713723,428690015,/kaggle/temp/axial_all_images/211713723___428690015___5.png,1,2,5,19,1.7486559726095425
211713723,428690015,/kaggle/temp/axial_all_images/211713723___428690015___2.png,1,1,2,22,1.9533133007133205
213335325,1153454550,/kaggle/temp/axial_all_images/213335325___1153454550___24.png,1,5,24,1,1.5120524678799612
213335325,1153454550,/kaggle/temp/axial_all_images/213335325___1153454550___18.png,1,4,18,7,2.263045203684027
213335325,1153454550,/kaggle/temp/axial_all_images/213335325___1153454550___13.png,1,3,13,12,0.9947356000984584
213335325,1153454550,/kaggle/temp/axial_all_images/213335325___1153454550___8.png,1,2,8,17,0.5620832744553859
213335325,1153454550,/kaggle/temp/axial_all_images/213335325___1153454550___3.png,1,1,3,22,0.7280412661826325
215111925,1936473407,/kaggle/temp/axial_all_images/215111925___1936473407___34.png,1,5,34,10,2.087121669537458
215111925,1936473407,/kaggle/temp/axial_all_images/215111925___1936473407___27.png,1,4,27,17,1.0628427241434277
215111925,1936473407,/kaggle/temp/axial_all_images/215111925___1936473407___21.png,1,3,21,23,1.464454290355502
215111925,1936473407,/kaggle/temp/axial_all_images/215111925___1936473407___14.png,1,2,14,30,0.2424488972593708
215111925,1936473407,/kaggle/temp/axial_all_images/215111925___1936473407___7.png,1,1,7,37,1.3450268465169053
215111925,2044258086,/kaggle/temp/axial_all_images/215111925___2044258086___23.png,1,5,23,1,1.2264074992527156
215111925,2044258086,/kaggle/temp/axial_all_images/215111925___2044258086___19.png,1,4,19,5,0.22260473314292284
215111925,2044258086,/kaggle/temp/axial_all_images/215111925___2044258086___15.png,1,3,15,9,1.1069630810125943
215111925,2044258086,/kaggle/temp/axial_all_images/215111925___2044258086___10.png,1,2,10,14,1.480309448187679
215111925,2044258086,/kaggle/temp/axial_all_images/215111925___2044258086___7.png,1,1,7,17,0.12350624335116578
224965813,2221482978,/kaggle/temp/axial_all_images/224965813___2221482978___21.png,1,5,21,2,2.139443996759365
224965813,2221482978,/kaggle/temp/axial_all_images/224965813___2221482978___17.png,1,4,17,6,2.0859893814896386
224965813,2221482978,/kaggle/temp/axial_all_images/224965813___2221482978___11.png,1,3,11,12,1.5410353819833453
224965813,2221482978,/kaggle/temp/axial_all_images/224965813___2221482978___5.png,1,2,5,18,2.3426564627456354
224965813,2221482978,/kaggle/temp/axial_all_images/224965813___2221482978___3.png,1,1,3,20,1.4152568575731177
228290246,983684394,/kaggle/temp/axial_all_images/228290246___983684394___3.png,1,5,3,2,0.5679693027358397
228290246,983684394,/kaggle/temp/axial_all_images/228290246___983684394___1.png,1,4,1,4,5.181076227502537
228290246,1279357314,/kaggle/temp/axial_all_images/228290246___1279357314___25.png,1,5,25,0,4.551434212788278
228290246,1279357314,/kaggle/temp/axial_all_images/228290246___1279357314___23.png,1,4,23,2,0.9118337609499285
228290246,1279357314,/kaggle/temp/axial_all_images/228290246___1279357314___18.png,1,3,18,7,2.0669803694738604
228290246,1279357314,/kaggle/temp/axial_all_images/228290246___1279357314___13.png,1,2,13,12,2.388963070812789
228290246,1279357314,/kaggle/temp/axial_all_images/228290246___1279357314___8.png,1,1,8,17,0.8218375715247674
233281390,852306180,/kaggle/temp/axial_all_images/233281390___852306180___28.png,1,5,28,2,0.1504565907794344
233281390,852306180,/kaggle/temp/axial_all_images/233281390___852306180___23.png,1,4,23,7,1.2831683489891272
233281390,852306180,/kaggle/temp/axial_all_images/233281390___852306180___18.png,1,3,18,12,1.2534410706367511
233281390,852306180,/kaggle/temp/axial_all_images/233281390___852306180___13.png,1,2,13,17,2.1665419121123666
233281390,852306180,/kaggle/temp/axial_all_images/233281390___852306180___8.png,1,1,8,22,0.34886751767765567
247968996,3356302344,/kaggle/temp/axial_all_images/247968996___3356302344___28.png,1,5,28,2,0.4418797369424112
247968996,3356302344,/kaggle/temp/axial_all_images/247968996___3356302344___24.png,1,4,24,6,0.5627319179066745
247968996,3356302344,/kaggle/temp/axial_all_images/247968996___3356302344___18.png,1,3,18,12,0.5912179916832709
247968996,3356302344,/kaggle/temp/axial_all_images/247968996___3356302344___11.png,1,2,11,19,0.4723898432259297
247968996,3356302344,/kaggle/temp/axial_all_images/247968996___3356302344___3.png,1,1,3,27,0.6229902047103106
262749243,3127851523,/kaggle/temp/axial_all_images/262749243___3127851523___21.png,1,5,21,1,1.8404244744540676
262749243,3127851523,/kaggle/temp/axial_all_images/262749243___3127851523___15.png,1,4,15,7,2.230553052130997
262749243,3127851523,/kaggle/temp/axial_all_images/262749243___3127851523___10.png,1,3,10,12,1.4881372428092483
262749243,3127851523,/kaggle/temp/axial_all_images/262749243___3127851523___6.png,1,2,6,16,1.3152455096895999
262749243,3127851523,/kaggle/temp/axial_all_images/262749243___3127851523___2.png,1,1,2,20,0.07279494575637457
267842058,722235074,/kaggle/temp/axial_all_images/267842058___722235074___4.png,1,5,4,19,1.9785410205602254
267842058,722235074,/kaggle/temp/axial_all_images/267842058___722235074___1.png,1,4,1,22,8.581507006599061
267842058,1293383293,/kaggle/temp/axial_all_images/267842058___1293383293___23.png,1,5,23,0,4.373268347690959
267842058,1293383293,/kaggle/temp/axial_all_images/267842058___1293383293___18.png,1,4,18,5,1.977538795721256
267842058,1293383293,/kaggle/temp/axial_all_images/267842058___1293383293___12.png,1,3,12,11,1.5732264051116374
267842058,1293383293,/kaggle/temp/axial_all_images/267842058___1293383293___5.png,1,2,5,18,0.7240264782362726
267842058,1293383293,/kaggle/temp/axial_all_images/267842058___1293383293___1.png,1,1,1,22,13.028509388859955
267842058,3468589076,/kaggle/temp/axial_all_images/267842058___3468589076___20.png,1,1,20,3,0.7097998937915904
267989673,1572005029,/kaggle/temp/axial_all_images/267989673___1572005029___19.png,1,5,19,1,1.8970627639663817
267989673,1572005029,/kaggle/temp/axial_all_images/267989673___1572005029___15.png,1,4,15,5,0.5603150026425965
267989673,1572005029,/kaggle/temp/axial_all_images/267989673___1572005029___11.png,1,3,11,9,0.27769700921120055
267989673,1572005029,/kaggle/temp/axial_all_images/267989673___1572005029___6.png,1,2,6,14,1.6070960450548135
267989673,1572005029,/kaggle/temp/axial_all_images/267989673___1572005029___3.png,1,1,3,17,2.176565016645011
273701476,2647412037,/kaggle/temp/axial_all_images/273701476___2647412037___19.png,1,5,19,2,1.4271488910366372
273701476,2647412037,/kaggle/temp/axial_all_images/273701476___2647412037___15.png,1,4,15,6,0.3250748514571171
273701476,2647412037,/kaggle/temp/axial_all_images/273701476___2647412037___11.png,1,3,11,10,2.1746678571862224
273701476,2647412037,/kaggle/temp/axial_all_images/273701476___2647412037___6.png,1,2,6,15,1.136279479981681
273701476,2647412037,/kaggle/temp/axial_all_images/273701476___2647412037___2.png,1,1,2,19,1.901890874615244
293713262,4093479077,/kaggle/temp/axial_all_images/293713262___4093479077___12.png,1,5,12,3,0.21160867118942406
293713262,4093479077,/kaggle/temp/axial_all_images/293713262___4093479077___8.png,1,4,8,7,0.22426981321052608
293713262,4093479077,/kaggle/temp/axial_all_images/293713262___4093479077___4.png,1,3,4,11,0.9948737325460341
305320071,3350746151,/kaggle/temp/axial_all_images/305320071___3350746151___24.png,1,5,24,1,1.1286828322356826
305320071,3350746151,/kaggle/temp/axial_all_images/305320071___3350746151___19.png,1,4,19,6,1.5334041334540771
305320071,3350746151,/kaggle/temp/axial_all_images/305320071___3350746151___13.png,1,3,13,12,1.8933811621186993
305320071,3350746151,/kaggle/temp/axial_all_images/305320071___3350746151___8.png,1,2,8,17,0.08415842670280682
305320071,3350746151,/kaggle/temp/axial_all_images/305320071___3350746151___3.png,1,1,3,22,0.5654080387932581
316662180,1995942087,/kaggle/temp/axial_all_images/316662180___1995942087___22.png,1,5,22,2,0.7150789854987956
316662180,1995942087,/kaggle/temp/axial_all_images/316662180___1995942087___17.png,1,4,17,7,2.5026069797082684
316662180,1995942087,/kaggle/temp/axial_all_images/316662180___1995942087___12.png,1,3,12,12,2.1995781357223883
316662180,1995942087,/kaggle/temp/axial_all_images/316662180___1995942087___8.png,1,2,8,16,1.1084272169393348
316662180,1995942087,/kaggle/temp/axial_all_images/316662180___1995942087___3.png,1,1,3,21,1.48599982354785
341051344,2776286688,/kaggle/temp/axial_all_images/341051344___2776286688___40.png,1,5,40,10,1.6443283750101432
341051344,2776286688,/kaggle/temp/axial_all_images/341051344___2776286688___34.png,1,4,34,16,1.1235582573190315
341051344,2776286688,/kaggle/temp/axial_all_images/341051344___2776286688___27.png,1,3,27,23,2.0201124129800836
341051344,2776286688,/kaggle/temp/axial_all_images/341051344___2776286688___20.png,1,2,20,30,1.2211901105666816
341051344,2776286688,/kaggle/temp/axial_all_images/341051344___2776286688___13.png,1,1,13,37,1.8820925370080412
341058399,1917071071,/kaggle/temp/axial_all_images/341058399___1917071071___23.png,1,5,23,2,0.4659650217738971
341058399,1917071071,/kaggle/temp/axial_all_images/341058399___1917071071___18.png,1,4,18,7,0.8668961304602121
341058399,1917071071,/kaggle/temp/axial_all_images/341058399___1917071071___13.png,1,3,13,12,2.1592469951548265
341058399,1917071071,/kaggle/temp/axial_all_images/341058399___1917071071___8.png,1,2,8,17,2.052421735275209
341058399,1917071071,/kaggle/temp/axial_all_images/341058399___1917071071___4.png,1,1,4,21,2.4038260536381397
358286753,206625568,/kaggle/temp/axial_all_images/358286753___206625568___40.png,1,5,40,10,1.7447638327269208
358286753,206625568,/kaggle/temp/axial_all_images/358286753___206625568___34.png,1,4,34,16,1.3189716340643023
358286753,206625568,/kaggle/temp/axial_all_images/358286753___206625568___27.png,1,3,27,23,0.2438988260399233
358286753,206625568,/kaggle/temp/axial_all_images/358286753___206625568___20.png,1,2,20,30,1.4664770050879392
358286753,206625568,/kaggle/temp/axial_all_images/358286753___206625568___13.png,1,1,13,37,1.689112851580843
366818079,2585365177,/kaggle/temp/axial_all_images/366818079___2585365177___22.png,1,5,22,2,0.6743659183974415
366818079,2585365177,/kaggle/temp/axial_all_images/366818079___2585365177___18.png,1,4,18,6,1.3970140604353265
366818079,2585365177,/kaggle/temp/axial_all_images/366818079___2585365177___12.png,1,3,12,12,1.0799354224708182
366818079,2585365177,/kaggle/temp/axial_all_images/366818079___2585365177___8.png,1,2,8,16,0.15995085543437604
366818079,2585365177,/kaggle/temp/axial_all_images/366818079___2585365177___3.png,1,1,3,21,0.7074901521518697
372642770,2443084765,/kaggle/temp/axial_all_images/372642770___2443084765___3.png,1,5,3,2,1.8933467857335202
372642770,2443084765,/kaggle/temp/axial_all_images/372642770___2443084765___7.png,1,4,7,6,2.391326563652161
372642770,2443084765,/kaggle/temp/axial_all_images/372642770___2443084765___12.png,1,3,12,11,2.404882186395291
372642770,2443084765,/kaggle/temp/axial_all_images/372642770___2443084765___18.png,1,2,18,17,2.143235021125049
372642770,2443084765,/kaggle/temp/axial_all_images/372642770___2443084765___23.png,1,1,23,22,1.9968158588959408
372642770,2853044871,/kaggle/temp/axial_all_images/372642770___2853044871___36.png,1,5,36,35,0.6270812904511953
372642770,2853044871,/kaggle/temp/axial_all_images/372642770___2853044871___54.png,1,4,54,53,0.3112926224014563
372642770,2853044871,/kaggle/temp/axial_all_images/372642770___2853044871___74.png,1,3,74,73,0.5514655875708601
372642770,2853044871,/kaggle/temp/axial_all_images/372642770___2853044871___96.png,1,2,96,95,0.13330204108797972
372642770,2853044871,/kaggle/temp/axial_all_images/372642770___2853044871___117.png,1,1,117,116,0.46890751103430484
375877945,2673164833,/kaggle/temp/axial_all_images/375877945___2673164833___46.png,1,5,46,9,0.45181844406726945
375877945,2673164833,/kaggle/temp/axial_all_images/375877945___2673164833___40.png,1,4,40,15,0.3385349430544826
375877945,2673164833,/kaggle/temp/axial_all_images/375877945___2673164833___33.png,1,3,33,22,0.45492964593507246
375877945,2673164833,/kaggle/temp/axial_all_images/375877945___2673164833___25.png,1,2,25,30,1.134008798271248
375877945,2673164833,/kaggle/temp/axial_all_images/375877945___2673164833___17.png,1,1,17,38,1.9094524844491483
385414562,1803218037,/kaggle/temp/axial_all_images/385414562___1803218037___18.png,1,5,18,2,0.3464056837383538
385414562,1803218037,/kaggle/temp/axial_all_images/385414562___1803218037___13.png,1,4,13,7,2.2433228318380856
385414562,1803218037,/kaggle/temp/axial_all_images/385414562___1803218037___10.png,1,3,10,10,0.04101435857193003
385414562,1803218037,/kaggle/temp/axial_all_images/385414562___1803218037___6.png,1,2,6,14,0.23795415036831358
385414562,1803218037,/kaggle/temp/axial_all_images/385414562___1803218037___2.png,1,1,2,18,0.6051466219463375
389494496,4196685981,/kaggle/temp/axial_all_images/389494496___4196685981___38.png,1,5,38,12,1.721217682124128
389494496,4196685981,/kaggle/temp/axial_all_images/389494496___4196685981___33.png,1,4,33,17,0.21956876856718832
389494496,4196685981,/kaggle/temp/axial_all_images/389494496___4196685981___26.png,1,3,26,24,0.26182002304110785
389494496,4196685981,/kaggle/temp/axial_all_images/389494496___4196685981___18.png,1,2,18,32,0.6451990906653853
389494496,4196685981,/kaggle/temp/axial_all_images/389494496___4196685981___11.png,1,1,11,39,0.33070800713274195
390498354,953491872,/kaggle/temp/axial_all_images/390498354___953491872___20.png,1,5,20,4,0.7814645780720717
390498354,953491872,/kaggle/temp/axial_all_images/390498354___953491872___13.png,1,4,13,11,0.2136377995540535
390498354,953491872,/kaggle/temp/axial_all_images/390498354___953491872___4.png,1,3,4,20,1.4048258843545813
396152094,482540905,/kaggle/temp/axial_all_images/396152094___482540905___38.png,1,5,38,12,2.025468755249081
396152094,482540905,/kaggle/temp/axial_all_images/396152094___482540905___34.png,1,4,34,16,1.3220943050328486
396152094,482540905,/kaggle/temp/axial_all_images/396152094___482540905___26.png,1,3,26,24,1.3465021021973977
